nll-oracle,nll-test,EmbeddingSimilarity,
1,9.756647,7.503576,-0.17713874605717544,
6,8.767632,6.540268,-0.20650977519947528,
11,8.689133,6.0487638,-0.20996559396269945,
16,9.276076,5.816366,-0.23469528455984479,
21,9.274523,5.756101,-0.2384298952462963,
26,9.023762,5.63728,-0.21841430822723576,
31,9.05165,5.5269566,-0.21900827075768858,
36,9.3274,5.467014,-0.23507513387071918,
41,9.362959,5.36417,-0.23884929889847345,
46,9.362905,5.2698593,-0.2401316394725239,
51,9.488746,5.2227645,-0.24370095028830052,
56,9.631533,5.1185217,-0.24868368607806285,
61,9.930815,5.086735,-0.2586669107860734,
66,10.046228,5.0511656,-0.27089599952529986,
71,9.987094,5.028694,-0.2775012078464289,
76,9.88503,5.03887,-0.2782022112930366,
80,8.889633,5.09037,-0.22432409759138006,
85,8.610456,4.9930124,-0.21173213876181526,
95,9.121008,4.9213243,-0.23070903200233844,
99,8.799036,4.8467593,-0.21655484817840046,
100,9.091864,4.7848306,-0.2237195410759515,
110,9.695398,4.842991,-0.25513932373917886,
115,9.005468,4.747986,-0.2243706141816732,
125,9.588682,4.8147635,-0.2529955644575633,
130,8.793604,4.7150426,-0.2234479595482518,
140,9.649486,4.799835,-0.25570413831908717,
145,8.814241,4.7029166,-0.2208555680915372,
155,8.824348,4.7724557,-0.21783194311960896,
160,8.479621,4.6230826,-0.20072427408077861,
170,8.737106,4.739071,-0.21221546816238496,
175,8.474878,4.601997,-0.1987133806011346,
185,8.696178,4.682614,-0.20622510237567518,
190,8.631697,4.5394845,-0.20975287027909942,
200,8.969138,4.6525083,-0.22498305078615657,
205,8.797984,4.5116754,-0.2115088512911374,
215,8.890568,4.6184874,-0.2199024119080801,
220,8.80343,4.484736,-0.21503841532273724,
